Date,2024-11-15 22:07:50
Measurement Type,Tt
sensorName,['NONE', 'A', 'B', 'C', 'D', 'D1', 'D2', 'D3', 'D4'],sensorCount,9,heaterCount,4,tInt,2,tPoints,100,aver,1,chanList,[<tkinter.BooleanVar object at 0x00000235C8A18CB0>, <tkinter.BooleanVar object at 0x00000235C8A18C50>, <tkinter.BooleanVar object at 0x00000235C58E4EC0>, <tkinter.BooleanVar object at 0x00000235C58E49B0>, <tkinter.BooleanVar object at 0x00000235C58E7980>, <tkinter.BooleanVar object at 0x00000235C58E7AA0>, <tkinter.BooleanVar object at 0x00000235C58E65A0>, <tkinter.BooleanVar object at 0x00000235C58E7EC0>],RTD,True,
Time,A,B,C,D,D1,D2,D3,D4
0,290.989,291.545,288.781,196.124,240.226,0.0,0.0,0.0
2.0,290.982,291.541,288.773,196.078,240.201,0.0,0.0,0.0
4.0,290.976,291.538,288.766,196.033,240.177,0.0,0.0,0.0
6.0,290.97,291.531,288.758,195.987,240.152,0.0,0.0,0.0
8.0,290.963,291.524,288.75,195.937,240.127,0.0,0.0,0.0
10.0,290.957,291.519,288.742,195.891,240.103,0.0,0.0,0.0
12.0,290.95,291.512,288.735,195.846,240.078,0.0,0.0,0.0
14.0,290.944,291.505,288.727,195.8,240.054,0.0,0.0,0.0
16.0,290.935,291.498,288.719,195.755,240.027,0.0,0.0,0.0
18.0,290.929,291.495,288.71,195.71,240.002,0.0,0.0,0.0
20.0,290.923,291.492,288.703,195.664,239.978,0.0,0.0,0.0
22.0,290.916,291.487,288.696,195.618,239.954,0.0,0.0,0.0
24.0,290.911,291.48,288.688,195.568,239.929,0.0,0.0,0.0
26.0,290.895,291.463,288.678,195.522,239.905,0.0,0.0,0.0
28.0,290.885,291.451,288.668,195.477,239.88,0.0,0.0,0.0
30.0,290.876,291.445,288.662,195.431,239.856,0.0,0.0,0.0
32.0,290.869,291.439,288.654,195.385,239.828,0.0,0.0,0.0
34.0,290.862,291.434,288.646,195.34,239.804,0.0,0.0,0.0
36.0,290.858,291.426,288.638,195.294,239.779,0.0,0.0,0.0
38.0,290.849,291.421,288.63,195.249,239.755,0.0,0.0,0.0
40.0,290.842,291.416,288.623,195.199,239.731,0.0,0.0,0.0
42.0,290.835,291.409,288.614,195.153,239.706,0.0,0.0,0.0
44.0,290.83,291.402,288.608,195.107,239.682,0.0,0.0,0.0
